Output source file name: T725
||||Date|(%)
Company Code|Company Name|Equity Owner Type|Equity Owner Name|Holding Date|Percent Shares
32084|Benares Hotels Ltd.|Promoters|The Indian Hotels Company Limited|31-12-2019|49.520000
32084|Benares Hotels Ltd.|Promoters|The Indian Hotels Company Limited|31-03-2020|49.520000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Clearing Members|30-06-2019|0.100000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Clearing Members|30-09-2019|0.030000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Clearing Members|31-12-2019|0.100000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Clearing Members|31-03-2020|0.170000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Director Or Director'S Relatives|30-06-2019|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Director Or Director'S Relatives|30-09-2019|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Foreign Nationals|30-06-2019|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Foreign Nationals|30-09-2019|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Foreign Nationals|31-12-2019|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Foreign Nationals|31-03-2020|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin India Taxshield|31-12-2019|2.530000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin India Taxshield|31-03-2020|2.520000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin Templeton Investment Funds|30-06-2019|1.210000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin Templeton Investment Funds|30-09-2019|1.200000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin Templeton Investment Funds|31-12-2019|1.080000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin Templeton Investment Funds|31-03-2020|1.100000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin Templeton Mutual Fund A/C Franklin India Prima Fund|30-06-2019|1.620000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Franklin Templeton Mutual Fund A/C Franklin India Prima Fund|30-09-2019|2.210000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Government Pension Fund Global|30-06-2019|2.650000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Government Pension Fund Global|30-09-2019|2.450000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Government Pension Fund Global|31-12-2019|2.250000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Government Pension Fund Global|31-03-2020|1.940000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Life Insurance Company Limited|30-06-2019|1.530000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Life Insurance Company Limited|30-09-2019|1.710000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Life Insurance Companylimited -Shareholders Solvency Margin Account|31-12-2019|1.750000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Life Insurance Companylimited -Shareholders Solvency Margin Account|31-03-2020|1.920000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Trustee Company Ltd - A/C Hdfc Mid - Capopportunities Fund|30-06-2019|5.750000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Trustee Company Ltd - A/C Hdfc Mid - Capopportunities Fund|30-09-2019|6.150000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Trustee Company Ltd. A/C Hdfc Growth Opportunities Fund|31-12-2019|6.410000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Hdfc Trustee Company Ltd. A/C Hdfc Growth Opportunities Fund|31-03-2020|6.710000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Huf|30-06-2019|0.240000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Huf|30-09-2019|0.230000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Huf|31-12-2019|0.240000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Huf|31-03-2020|0.240000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Balanced Advantage Fund|30-06-2019|2.460000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Balanced Advantage Fund|30-09-2019|2.460000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Life Insurance Company Limited|30-06-2019|2.800000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Life Insurance Company Limited|30-09-2019|3.050000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Life Insurance Company Limited|31-12-2019|3.360000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Life Insurance Company Limited|31-03-2020|2.930000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Value Fund - Series 20|31-12-2019|2.240000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Icici Prudential Value Fund - Series 20|31-03-2020|2.820000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Iepf|30-06-2019|0.120000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Iepf|30-09-2019|0.120000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Iepf|31-12-2019|0.150000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Iepf|31-03-2020|0.150000
98827|Indian Hotels Co. Ltd.|Non-Promoters|L And T Mutual Fund Trustee Ltd-L And T India Value Fund|30-06-2019|1.120000
98827|Indian Hotels Co. Ltd.|Non-Promoters|L And T Mutual Fund Trustee Ltd-L And T India Value Fund|30-09-2019|1.190000
98827|Indian Hotels Co. Ltd.|Non-Promoters|L And T Mutual Fund Trustee Ltd-L And T Mid Cap Fund|31-12-2019|1.190000
98827|Indian Hotels Co. Ltd.|Non-Promoters|L And T Mutual Fund Trustee Ltd-L And T Mid Cap Fund|31-03-2020|1.220000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Life Insurance Corporation Of India|30-06-2019|1.780000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Life Insurance Corporation Of India|30-09-2019|1.780000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Life Insurance Corporation Of India|31-12-2019|1.780000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Life Insurance Corporation Of India|31-03-2020|1.780000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-06-2019|0.550000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Non-Resident Indian (Nri)|30-09-2019|0.470000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-12-2019|0.510000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Non-Resident Indian (Nri)|31-03-2020|0.500000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Reliance Capital Trustee Co Ltd-A/C Nippon India Vision Fund|31-12-2019|6.990000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Reliance Capital Trustee Co Ltd-A/C Nippon India Vision Fund|31-03-2020|7.080000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Reliance Capital Trustee Co Ltd.A/C Reliance Multi Cap Fund|30-06-2019|8.220000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Reliance Capital Trustee Co Ltd.A/C Reliance Multi Cap Fund|30-09-2019|7.240000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Sbi Magnum Multicap Fund|30-06-2019|2.130000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Sbi Magnum Multicap Fund|30-09-2019|2.140000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Sbi Resurgent India Opportunities Scheme|31-12-2019|2.140000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Sbi Resurgent India Opportunities Scheme|31-03-2020|2.180000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Trusts|30-06-2019|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Trusts|30-09-2019|0.000000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Trusts|31-12-2019|0.010000
98827|Indian Hotels Co. Ltd.|Non-Promoters|Trusts|31-03-2020|0.000000
98827|Indian Hotels Co. Ltd.|Promoters|Ewart Investments Limited|30-06-2019|0.170000
98827|Indian Hotels Co. Ltd.|Promoters|Ewart Investments Limited|30-09-2019|0.170000
98827|Indian Hotels Co. Ltd.|Promoters|Ewart Investments Limited|31-12-2019|0.170000
98827|Indian Hotels Co. Ltd.|Promoters|Ewart Investments Limited|31-03-2020|0.170000
98827|Indian Hotels Co. Ltd.|Promoters|Oriental Hotels Limited|30-06-2019|0.060000
98827|Indian Hotels Co. Ltd.|Promoters|Oriental Hotels Limited|30-09-2019|0.060000
98827|Indian Hotels Co. Ltd.|Promoters|Oriental Hotels Limited|31-12-2019|0.060000
98827|Indian Hotels Co. Ltd.|Promoters|Oriental Hotels Limited|31-03-2020|0.060000
98827|Indian Hotels Co. Ltd.|Promoters|Taida Trading And Industries Limited|30-06-2019|0.010000
98827|Indian Hotels Co. Ltd.|Promoters|Taida Trading And Industries Limited|30-09-2019|0.010000
98827|Indian Hotels Co. Ltd.|Promoters|Taida Trading And Industries Limited|31-12-2019|0.010000
98827|Indian Hotels Co. Ltd.|Promoters|Taida Trading And Industries Limited|31-03-2020|0.010000
98827|Indian Hotels Co. Ltd.|Promoters|Taj Madurai Limited|30-06-2019|0.090000
98827|Indian Hotels Co. Ltd.|Promoters|Taj Madurai Limited|30-09-2019|0.090000
98827|Indian Hotels Co. Ltd.|Promoters|Taj Madurai Limited|31-12-2019|0.090000
98827|Indian Hotels Co. Ltd.|Promoters|Taj Madurai Limited|31-03-2020|0.090000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Capital Ltd|30-06-2019|0.000000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Capital Ltd|30-09-2019|0.000000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Capital Ltd|31-12-2019|0.000000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Capital Ltd|31-03-2020|0.000000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Chemicals Limited|30-06-2019|0.890000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Chemicals Limited|30-09-2019|0.890000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Chemicals Limited|31-12-2019|0.890000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Chemicals Limited|31-03-2020|0.890000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Industries Limited|30-06-2019|0.050000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Industries Limited|30-09-2019|0.050000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Industries Limited|31-12-2019|0.050000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Industries Limited|31-03-2020|0.050000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Investment Corporation Limited|30-06-2019|1.350000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Investment Corporation Limited|30-09-2019|1.350000
98827|Indian Hotels Co. Ltd.|Promoters|Tata Investment Corporation Ltd|31-12-2019|1.350000
